Site ID,Site Name,Latitude,Longitude,Elevation,Remarks,Agency Landowner,Aspect,Created Date,Area Name,Group Name,State,Status,Slope
"8","N. Yuba 25 Road","39.53916666666667","-121.00194444444445","3900","FBPS Model:
Aspect = Ridge Top","USFS - US Forest Service","","2010-09-17T05:00Z","Northern California","Tahoe NF","California","Active","0"
"7","25 Road Chinquapin","39.53916666666667","-121.00194444444445","3900","FBPS Model:
Aspect = Ridge Top","USFS - US Forest Service","","2010-09-17T05:00Z","Northern California","Tahoe NF","California","Inactive","0"
"23","Alder Creek","47.849444444444444","-120.66166666666668","2500","","USFS - US Forest Service","S","2016-05-27T05:00Z","Northwest","NW08-OWF","Washington","Inactive","0"
"9","4S Ranch","33.035","-117.10333333333332","964","This site was burnt through during the Witch incident in 2007.","OTHR - Other","SW","2009-03-27T05:00Z","Southern California","Rancho Santa Fe Fire Protection","California","Active","10"
"17","Adobe Creek","40.848333333333336","-116.06972222222223","4900","N1B","BLM - Bureau of Land Management","SE","2008-07-30T05:00Z","Great Basin","Nevada","Nevada","Active","0"
"24","Alder New","39.64888888888889","-122.73055555555555","4400","","USFS - US Forest Service","E","2014-05-27T05:00Z","Northern California","Mendocino NF","California","Active","5"
"21","Alder 1000 hr","39.64888888888889","-122.73055555555555","4400","","USFS - US Forest Service","E","2015-07-20T05:00Z","Northern California","Mendocino NF","California","Active","5"
"20","Alder","39.64888888888889","-122.73055555555555","4400","OLD","USFS - US Forest Service","E","2010-08-23T05:00Z","Northern California","Mendocino NF","California","Active","5"
"22","Alder 19","39.6575","-122.71861111111112","4300","","USFS - US Forest Service","N","2020-05-18T05:00Z","Northern California","Mendocino NF","California","Active","0"
"25","Alderpoint","40.186388888888885","-123.58944444444444","960","","N/A","S","2020-10-17T05:00Z","Northern California","PGE - NOCC","California","Active","0"
"26","Ammon","40.83527777777778","-123.59972222222221","2500","Secondary site - Mature Douglas-fir (Pseudotsuga menziesii), tanoak (Lithocarpus densiflorus) and madrone (Arbutus menziesii) are the predominant species.  Smaller fuels consist mainly of sapling tanoak and Douglas-fir although a few manzanita (Arctostaphylos sp.) are also present in the unit.  Canopy cover is between 50-80%.","USFS - US Forest Service","E","2012-02-17T06:00Z","Northern California","Six Rivers NF","California","Active","25"
"29","Angel Creek","41.035555555555554","-115.0525","6782","Site is located on the Humboldt-Toiyabe NF near Angel Creek Campground.  The fuel site will be monitored by Elko BLM Staff.","BLM - Bureau of Land Management","E","2022-05-02T05:00Z","Great Basin","Nevada","Nevada","Active","5"
"31","Anza","33.5558","-116.7062","4000","","S&PF - State and Private Forestry","S","2007-05-27T05:00Z","Southern California","CAL FIRE Riverside Unit","California","Active","0"
"33","Apperson Manzanita, Whiteleaf Old","36.95638888888889","-119.2075","2860","","USFS - US Forest Service","S","2016-06-14T05:00Z","Southern California","Sierra NF","California","Active","5"
"32","Apperson Manzanita, Whiteleaf New","36.95638888888889","-119.2075","2860","","USFS - US Forest Service","S","2016-06-08T05:00Z","Southern California","Sierra NF","California","Active","5"
"34","Aquarius","46.850833333333334","-115.63388888888889","1750","Site is located down the Isabella Creek trail approx. 150-200 feet elevation above the North Fork Clearwater River. The site consists of mature Western Redcedar and White Pine overstory with a large variety of shrub species understory. Numerous species of ferns, forbs, and moss cover the forest floor. A couple of Pacific Yew are present as well.","USFS - US Forest Service","SE","2020-06-03T05:00Z","Northern Rockies","Nez Perce-Clearwater NF","Idaho","Active","20"
"36","Armstrong Gulch","42.1175","-123.11833333333333","2700","","USFS - US Forest Service","S","2021-07-21T05:00Z","Northwest","NW04-RSF","Oregon","Active","0"
"64","Barnes Mountain","37.02611111111111","-119.25083333333333","3930","","N/A","S","2020-06-17T05:00Z","Southern California","PGE-SOCC","California","Active","0"
"48","Austin","39.48277777777778","-117.07194444444444","6863","TOF4","USFS - US Forest Service","W","2009-09-26T05:00Z","Great Basin","Nevada","Nevada","Active","0"
"49","Austin N6B","39.5225","-117.05416666666666","5756","BMD N6B","BLM - Bureau of Land Management","SW","2010-07-08T05:00Z","Great Basin","Nevada","Nevada","Active","0"
"54","Balcones","30.51388888888889","-98.02638888888889","800","","FWS - Fish and Wildlife Service","S","2009-08-06T05:00Z","Southern","TX NWRs","Texas","Active","0"
"78","Big Branch Marsh","30.325","-89.9375","20","RAWS stn 168541","USFS - US Forest Service","","2007-11-20T06:00Z","Southern","LA NWRs","Louisiana","Active","0"
"55","Bald Mountain Lookout","38.90555555555555","-120.70833333333334","4500","","USFS - US Forest Service","SW","2016-08-10T05:00Z","Northern California","Eldorado NF","California","Active","0"
"65","Barnes Pine, Ponderosa","37.01222222222222","-119.23527777777778","4050","","USFS - US Forest Service","SE","2016-06-29T05:00Z","Southern California","Sierra NF","California","Active","5"
"63","Barnes Manzanita, Whiteleaf Old","37.01222222222222","-119.23527777777778","4050","","USFS - US Forest Service","SE","2016-06-08T05:00Z","Southern California","Sierra NF","California","Active","5"
"62","Barnes Manzanita, Whiteleaf New","37.01222222222222","-119.23527777777778","4050","","USFS - US Forest Service","SE","2016-06-08T05:00Z","Southern California","Sierra NF","California","Active","5"
"66","Barrett","32.66638888888889","-116.7","2500","","N/A","E","2013-06-06T05:00Z","Southern California","SDG&E","California","Active","25"
"68","Basque Hills","42.246944444444445","-118.94583333333334","4750","Established in 2017 near Basque Hills RAWS to represent a more southern location within BIFZ","BLM - Bureau of Land Management","","2017-06-04T05:00Z","Northwest","NW12-BUD","Oregon","Active","0"
"69","Beacon Pass","40.5575","-116.69027777777778","6000","A variety of sagebrush at the site.  Relatively healthy less invasive species than other sites","BLM - Bureau of Land Management","E","2018-03-21T05:00Z","Great Basin","Nevada","Nevada","Active","15"
"77","Big Bar","40.742222222222225","-123.24916666666667","1722","Site burned high severity in Monument Fire 2021","USFS - US Forest Service","S","2020-04-16T05:00Z","Northern California","Shasta-Trinity NF","California","Inactive","60"
"80","Big Creek South","47.437777777777775","-116.06694444444445","4200","","USFS - US Forest Service","S","2014-07-07T05:00Z","Northern Rockies","Idaho Panhandle National Forest","Idaho","Active","0"
"79","Big Creek North","47.437777777777775","-116.06694444444445","4200","","USFS - US Forest Service","N","2014-07-07T05:00Z","Northern Rockies","Idaho Panhandle National Forest","Idaho","Active","0"
"81","Big Hill","38.82888888888889","-120.40305555555557","5660","","USFS - US Forest Service","SE","2010-09-08T05:00Z","Northern California","Eldorado NF","California","Active","45"
"85","Big Trees","39.052499999999995","-120.55527777777777","5160","","USFS - US Forest Service","SW","2017-04-19T05:00Z","Northern California","Tahoe NF","California","Active","0"
"86","Big Valley","41.065555555555555","-121.21944444444445","4900","","S&PF - State and Private Forestry","S","2018-07-09T05:00Z","Northern California","CalFire Lassen-Modoc Unit","California","Active","0"
"118","Bogue Chitto","30.567777777777778","-89.82888888888888","0","No RAWS on site","USFS - US Forest Service","","2007-11-20T06:00Z","Southern","R4 FWS","Florida","Active","0"
"132","BRDRAWS","41.8975","-100.31083333333333","2873","","USFS - US Forest Service","S","2009-05-22T05:00Z","Rocky Mountain","Nebraska NF","Nebraska","Active","0"
"60","Baraga","46.6286","-88.6273","1337","","USFS - US Forest Service","NW","2025-05-19T05:00Z","Eastern Area","Ottawa NF","Michigan","Active","0"
"135","Broken Kettle Grasslands","42.69499999999999","-96.565","1237","1 hour fuels are collected as dead cedar foliage.","OTHR - Other","W","2015-08-20T05:00Z","Eastern Area","IA-DNR","Iowa","Active","20"
"137","Broken Kettle Grasslands - Stevenson Timber","42.687777777777775","-96.55277777777778","1362","1 hour fuels collected as timber leaf litter - which is mostly bur oak with other mixed hardwoods","OTHR - Other","SW","2015-08-20T05:00Z","Eastern Area","IA-DNR","Iowa","Active","5"
"102","Blewett","47.474444444444444","-120.6","2500","","USFS - US Forest Service","S","2016-05-27T05:00Z","Northwest","NW08-OWF","Washington","Active","20"
"104","Blizzard Gap Bottom","42.10777777777778","-119.74722222222222","4755","","BLM - Bureau of Land Management","NE","2012-07-11T05:00Z","Northwest","NW12-LFC","Oregon","Active","0"
"105","Blizzard Gap Middle","42.10138888888889","-119.71722222222222","5330","","BLM - Bureau of Land Management","SW","2012-07-11T05:00Z","Northwest","NW12-LFC","Oregon","Active","0"
"106","Blizzard Gap Top","42.09666666666667","-119.66611111111112","6100","","BLM - Bureau of Land Management","","2012-07-11T05:00Z","Northwest","NW12-LFC","Oregon","Active","0"
"108","Blue Canyon","44.70194444444445","-117.97638888888889","4592","","USFS - US Forest Service","SW","2016-07-20T05:00Z","Northwest","NW11-WWF","Oregon","Active","20"
"110","Blue Mountain","41.83861111111111","-120.85305555555556","5350","Open Ponderosa Pine and Incense Cedar overstory with intermediate brush consisting primarily of Greenleaf Manzanita with a minor component of Snowbrush Ceanothus. Station is supported by the Blue Mountain RAWS (BMUC1) with WIMS id of 44321.","USFS - US Forest Service","E","2016-04-27T05:00Z","Northern California","Modoc NF","California","Active","10"
"112","Blue Ridge","41.269444444444446","-123.1875","5880","Samples before Sept 2010 were separted into Old Growth and New Growth.  In order to meet the needs of this database, I combined the samples and weighted them according to which month they were collect as follows:

     New Growth  Old Growth
May     80          20
June    60          40
July    40          60
August  20          80
Sept    10          90
Oct     10          90","USFS - US Forest Service","","2010-08-19T05:00Z","Northern California","Klamath NF","California","Active","0"
"114","Bob Scott","39.458333333333336","-116.99333333333334","7260","Take right onto dirt road just before cattle guard (at the entrance to the Bob Scott campground). Go up dirt road approximately .1 miles (at the junction with a second dirt road), and sample on west side of road.","USFS - US Forest Service","S","2011-05-02T05:00Z","Great Basin","Humboldt-Toiyabe NF","Nevada","Active","8"
"115","Bogard","40.591944444444444","-121.07777777777777","5673","","USFS - US Forest Service","","2023-07-13T05:00Z","Northern California","Lassen NF","California","Active","0"
"121","Bottle Rock","38.86","-122.76972222222223","2400","","N/A","S","2020-08-28T05:00Z","Northern California","PGE - NOCC","California","Active","0"
"134","Brimley","46.41888888888889","-84.66305555555556","600","","USFS - US Forest Service","","2015-06-18T05:00Z","Eastern Area","Hiawatha NF","Michigan","Active","0"
"138","Browns Gap","38.24166666666667","-78.71222222222222","2600","","NPS - National Park Service","SW","2016-12-05T06:00Z","Southern","Shenandoah NP","Virginia","Active","45"
"182","Cameron Prairie","29.97222222222222","-93.095","0","RAWS stn 165101","USFS - US Forest Service","","2007-11-20T06:00Z","Southern","LA NWRs","Louisiana","Active","0"
"1027","Sabine NWR","29.97222222222222","-93.095","6","Closest RAWS Stn is 165101","USFS - US Forest Service","","2007-12-18T06:00Z","Southern","LA NWRs","Louisiana","Active","0"
"153","Burnside","38.75944444444445","-119.92694444444444","7280","Site is approximately 1.6 miles up Burnside Road on the west side. Look for a small gravel turnout.","USFS - US Forest Service","W","2012-06-08T05:00Z","Great Basin","Humboldt-Toiyabe NF","Nevada","Active","15"
"154","Burnt Mtn","48.08888888888889","-124.26722222222222","490","","S&PF - State and Private Forestry","S","2019-07-29T05:00Z","Northwest","NW10 WAS DNR SE","Washington","Active","0"
"158","CA-KNP Ash Mountain","36.48916666666667","-118.82722222222222","1700","","NPS - National Park Service","S","2017-06-02T05:00Z","Southern California","Sequoia-Kings NP","California","Active","0"
"159","CA-KNP Cedar Grove","36.79194444444444","-118.66111111111111","4723","","NPS - National Park Service","SW","2016-01-30T06:00Z","Southern California","Sequoia-Kings NP","California","Active","6"
"160","CA-KNP Elk Creek","36.51083333333333","-118.80527777777777","2100","Discontinued in 2021 as a result of the KNP Complex Fire","NPS - National Park Service","S","2014-05-14T05:00Z","Southern California","Sequoia-Kings NP","California","Active","17"
"161","CA-KNP Grant Grove","36.74722222222222","-118.97666666666667","6281","","NPS - National Park Service","S","2016-01-30T06:00Z","Southern California","Sequoia-Kings NP","California","Active","22"
"162","CA-KNP Mineral King","36.46222222222222","-118.63222222222221","7340","","NPS - National Park Service","SW","2016-01-30T06:00Z","Southern California","Sequoia-Kings NP","California","Active","40"
"163","CA-KNP Red Fir","36.60472222222222","-118.76833333333333","6983","","NPS - National Park Service","S","2016-01-30T06:00Z","Southern California","Sequoia-Kings NP","California","Active","22"
"164","CA-KNP Yucca","36.492222222222225","-118.82944444444443","1605","Yucca fuel moisture site established October 27, 2021 following the loss of Elk Creek fuel moisture site by the KNP Complex Fire.","NPS - National Park Service","S","2021-11-08T06:00Z","Southern California","Sequoia-Kings NP","California","Active","35"
"165","Cabin Creek","46.217777777777776","-115.83222222222221","3057","","S&PF - State and Private Forestry","E","2010-08-04T05:00Z","Northern Rockies","State Of Idaho","Idaho","Active","0"
"168","Cachuma","34.580000000000005","-119.97777777777777","850","","S&PF - State and Private Forestry","","2014-11-06T06:00Z","Southern California","Santa Barbara County FD","California","Active","0"
"1064","SCE-Sedco Hills","33.64138888888889","-117.23944444444444","1879","","OTHR - Other","","2019-09-19T05:00Z","Southern California","SCE","California","Active","0"
"181","Cameron","32.73361111111111","-116.45","4010","","USFS - US Forest Service","SW","2009-07-14T05:00Z","Southern California","Cleveland NF","California","Active","35"
"189","Carson","39.20722222222223","-119.72194444444445","5000","N3B","BLM - Bureau of Land Management","S","2008-07-31T05:00Z","Great Basin","Nevada","Nevada","Active","0"
"190","Cary Reservoir","41.1075","-121.00194444444445","4700","","USFS - US Forest Service","S","2010-10-04T05:00Z","Northern California","Modoc NF","California","Active","0"
"192","Case Springs RAWS","33.44138888888889","-117.39666666666668","2651","","DOD - Department of Defense","S","2009-06-15T05:00Z","Southern California","CAL FIRE San Diego Unit","California","Active","0"
"193","Cathedral Peak","36.25388888888889","-115.64555555555556","7884","","OTHR - Other","N","2020-06-04T05:00Z","Great Basin","Humboldt-Toiyabe NF","Nevada","Active","0"
"282","Corralitos Old Growth","37.00416666666667","-121.81555555555555","920","","S&PF - State and Private Forestry","SE","2014-05-27T05:00Z","Northern California","CalFire San Mateo- Santa Cruz Unit","California","Active","20"
"281","Corralitos New Growth","37.00416666666667","-121.81555555555555","920","","S&PF - State and Private Forestry","SE","2014-05-27T05:00Z","Northern California","CalFire San Mateo- Santa Cruz Unit","California","Active","20"
"280","Corralitos","37.00416666666667","-121.81555555555555","920","","S&PF - State and Private Forestry","SE","2012-03-01T06:00Z","Northern California","CalFire San Mateo- Santa Cruz Unit","California","Active","20"
"283","Cottage RAWS","38.345","-120.22833333333334","6000","","USFS - US Forest Service","SE","2011-07-22T05:00Z","Southern California","Stanislaus NF","California","Active","28"
