"Sample Id","Date-Time (ex. 2024-01-26T00:00:00+00:00)","Site Name","SiteId","Fuel Type","Category","Sub-Category","Method","Sample Avg Value","Sample Status"
"359563","2025-05-21T06:00Z","Log Chute","1429","1000-Hour","Dead","","",11.0,"Submitted"
"359939","2025-05-21T18:00Z","SNF La Cueva","1128","1000-Hour","Dead","","",21.64,"Submitted"
"359926","2025-05-21T18:00Z","SNF 6A","1120","1000-Hour","Dead","","",10.4,"Submitted"
"359901","2025-05-22T17:00Z","Wraith Falls","1348","1000-Hour","Dead","","",20.0,"Submitted"
"361585","2025-06-02T18:00Z","SNF La Cueva","1128","1000-Hour","Dead","","",21.83,"Submitted"
"361025","2025-05-30T20:00Z","D4 - Galena","1416","1000-Hour","Dead","","Gravimetric",14.71,"Submitted"
"359418","2025-05-21T20:00Z","CIF Water Canyon","2032","1000-Hour","Dead","","Gravimetric",3.33333,"Submitted"
"358740","2025-05-16T22:00Z","Brown Creek","1934","1000-Hour","Dead","","",10.694,"Submitted"
"362299","2025-06-05T20:00Z","D4 - Highlands","1440","1000-Hour","Dead","","Gravimetric",10.56,"Submitted"
"359410","2025-05-21T18:00Z","CIF Sargent Canyon","2034","1000-Hour","Dead","","Gravimetric",4.94667,"Submitted"
"360676","2025-05-29T18:00Z","Asay","37","1000-Hour","Dead","","",11.7833,"Submitted"
"362298","2025-06-05T19:00Z","D4 - Basin Creek","1414","1000-Hour","Dead","","Gravimetric",13.45,"Submitted"
"360677","2025-05-27T18:00Z","Deer Creek #1","1449","1000-Hour","Dead","Old","",14.5,"Submitted"
"361020","2025-05-29T18:00Z","D4 - Hay Canyon","1417","1000-Hour","Dead","","Gravimetric",14.13,"Submitted"
"359935","2025-05-21T19:00Z","Laughlin","2461","1000-Hour","Dead","","",7.71667,"Submitted"
"361360","2025-06-03T20:00Z","Hams #2","534","1000-Hour","Dead","","",22.73,"Submitted"
"361852","2025-06-04T17:00Z","Trestle Ridge","1269","1000-Hour","Dead","","",29.3333,"Submitted"
"358512","2025-05-14T16:00Z","Tally Lake South","1227","1000-Hour","Dead","","",36.68,"Submitted"
"361361","2025-06-03T20:00Z","Hams #1","533","1000-Hour","Dead","","",22.15,"Submitted"
"358515","2025-05-13T19:00Z","ASF Fill Tank","38","1000-Hour","Dead","","",11.8512,"Submitted"
"358279","2025-05-14T06:00Z","Daves Hollow","358","1000-Hour","Dead","","",11.38,"Submitted"
"358771","2025-05-15T20:00Z","Ladder Butte","677","1000-Hour","Dead","","",113.67,"Submitted"
"358967","2025-05-15T17:00Z","Blue Park","111","1000-Hour","Dead","","",12.75,"Submitted"
"358012","2025-05-12T19:00Z","Brookbank East","1768","1000-Hour","Dead","Middle","",9.32,"Submitted"
"361350","2025-06-03T17:00Z","U-38","1671","1000-Hour","Dead","","Gravimetric",13.4,"Submitted"
"360497","2025-05-27T06:00Z","Mud Springs","820","1000-Hour","Dead","","",10.0,"Submitted"
"358283","2025-05-12T06:00Z","ID-STF Rockcreek","605","1000-Hour","Dead","","",35.0,"Submitted"
"361344","2025-05-29T22:00Z","CIF Gallinas","209","1000-Hour","Dead","","",8.0,"Submitted"
"358744","2025-05-15T23:00Z","GCP DevArea","481","1000-Hour","Dead","","Gravimetric",14.93,"Submitted"
"358774","2025-05-15T20:00Z","Manzanita Lake","750","1000-Hour","Dead","","",49.16,"Submitted"
"361351","2025-06-03T17:00Z","Martin State Forest","1673","1000-Hour","Dead","","Gravimetric",11.53,"Submitted"
"361352","2025-06-03T17:00Z","Hardin Ridge","1670","1000-Hour","Dead","","Gravimetric",9.85,"Submitted"
"361349","2025-06-03T17:00Z","Tipsaw Lake","1672","1000-Hour","Dead","","Gravimetric",14.59,"Submitted"
"361877","2025-06-02T18:00Z","Mount Shasta","803","1000-Hour","Dead","","",5.71333,"Submitted"
"361837","2025-06-04T06:00Z","East Mesa","1969","1000-Hour","Dead","","Gravimetric",8.77,"Submitted"
"361829","2025-05-28T20:00Z","Lava Point","1968","1000-Hour","Dead","","Gravimetric",8.08,"Submitted"
"358750","2025-05-16T00:00Z","GCP Walhalla","488","1000-Hour","Dead","","Gravimetric",14.18,"Submitted"
"361826","2025-06-03T21:00Z","Six Shooter","1102","1000-Hour","Dead","","",8.99,"Submitted"
"360425","2025-05-28T08:00Z","McCall","754","1000-Hour","Dead","","Moisture Probe",27.0,"Submitted"
"358293","2025-05-13T06:00Z","Lava Point","1968","1000-Hour","Dead","","Gravimetric",43.42,"Submitted"
"360423","2025-05-21T08:00Z","McCall","754","1000-Hour","Dead","","Moisture Probe",26.0,"Submitted"
"360505","2025-05-27T06:00Z","Black Cedar","92","1000-Hour","Dead","","",10.0,"Submitted"
"360422","2025-05-23T18:00Z","Lory State Park","1448","1000-Hour","Dead","","",13.93,"Submitted"
"361331","2025-05-28T18:00Z","SNF Cordovas","1123","1000-Hour","Dead","","",7.9,"Submitted"
"358532","2025-05-14T20:00Z","Gasquet","480","1000-Hour","Dead","","",15.3967,"Submitted"
"361822","2025-06-03T21:00Z","Juanita","628","1000-Hour","Dead","","",8.04,"Submitted"
"361817","2025-06-04T19:00Z","Mill Creek","776","1000-Hour","Dead","","Moisture Probe",21.6667,"Submitted"
"358536","2025-05-14T22:00Z","Mad River","744","1000-Hour","Dead","","",16.09,"Submitted"
"361815","2025-06-04T19:00Z","Mill Creek","776","1000-Hour","Dead","","Gravimetric",29.33,"Submitted"
"358053","2025-05-13T23:00Z","KNF Jacob Lake","661","1000-Hour","Dead","","Gravimetric",8.615,"Submitted"
"361325","2025-05-27T19:00Z","Custer","311","1000-Hour","Dead","","Gravimetric",35.0,"Submitted"
"361420","2025-05-30T18:00Z","Ohanapecosh","1443","1000-Hour","Dead","Old","Moisture Probe",23.0333,"Submitted"
"357960","2025-05-12T19:00Z","KNF Eagle 5","659","1000-Hour","Dead","","",13.75,"Submitted"
"361318","2025-05-27T18:00Z","Teepee","1233","1000-Hour","Dead","","",21.0,"Submitted"
