stationId,stationName,observationTime,NFDRType,fuelModelType,oneHR_TL_FuelMoisture,tenHR_TL_FuelMoisture,hundredHR_TL_FuelMoisture,thousandHR_TL_FuelMoisture,kbdi,gsi,woodyLFI_fuelMoisture,herbaceousLFI_fuelMoisture,ignitionComponent,energyReleaseComponent,spreadComponent,burningIndex
10402,BROWNSBORO,2025-06-05,O,V,10.77,13.10,15.06,17.71,130,0.93,186.11,228.17,1.23,0.09,0.42,0.64
10402,BROWNSBORO,2025-06-05,O,W,10.77,13.10,15.06,17.71,130,0.93,186.11,228.17,1.94,0.64,0.60,1.80
10402,BROWNSBORO,2025-06-05,O,X,10.77,13.10,15.06,17.71,130,0.93,186.11,228.17,3.58,19.79,5.03,20.62
10402,BROWNSBORO,2025-06-05,O,Y,10.77,13.10,15.06,17.71,130,0.93,186.11,228.17,10.41,23.97,1.40,14.95
10402,BROWNSBORO,2025-06-05,O,Z,10.77,13.10,15.06,17.71,130,0.93,186.11,228.17,8.61,50.23,4.27,32.42
10702,BANKHEAD,2025-06-05,O,V,11.44,11.44,16.23,17.23,138,1.00,200.00,250.00,0.56,0.02,0.12,0.16
10702,BANKHEAD,2025-06-05,O,W,11.44,11.44,16.23,17.23,138,1.00,200.00,250.00,1.68,0.71,0.59,1.75
10702,BANKHEAD,2025-06-05,O,X,11.44,11.44,16.23,17.23,138,1.00,200.00,250.00,3.35,19.72,3.98,21.66
10702,BANKHEAD,2025-06-05,O,Y,11.44,11.44,16.23,17.23,138,1.00,200.00,250.00,10.56,24.64,1.90,17.30
10702,BANKHEAD,2025-06-05,O,Z,11.44,11.44,16.23,17.23,138,1.00,200.00,250.00,8.48,52.52,4.67,36.46
16703,BONSECOUR,2025-06-05,O,V,10.98,13.34,17.69,18.20,253,0.95,89.30,89.30,1.77,0.08,0.84,0.86
16703,BONSECOUR,2025-06-05,O,W,10.98,13.34,17.69,18.20,253,0.95,89.30,89.30,3.34,0.70,1.73,3.17
16703,BONSECOUR,2025-06-05,O,X,10.98,13.34,17.69,18.20,253,0.95,89.30,89.30,8.60,30.53,19.20,56.48
16703,BONSECOUR,2025-06-05,O,Y,10.98,13.34,17.69,18.20,253,0.95,89.30,89.30,11.37,22.72,1.62,15.61
16703,BONSECOUR,2025-06-05,O,Z,10.98,13.34,17.69,18.20,253,0.95,89.30,89.30,10.01,49.74,4.99,36.66
20114,BLACK ROCK,2025-06-05,O,V,9.67,11.75,12.60,11.94,148,0.84,155.73,30.00,11.78,1.92,30.13,19.46
20114,BLACK ROCK,2025-06-05,O,W,9.67,11.75,12.60,11.94,148,0.84,155.73,30.00,5.11,1.16,3.25,5.54
20114,BLACK ROCK,2025-06-05,O,X,9.67,11.75,12.60,11.94,148,0.84,155.73,30.00,8.11,24.51,13.75,43.78
20114,BLACK ROCK,2025-06-05,O,Y,9.67,11.75,12.60,11.94,148,0.84,155.73,30.00,14.69,37.92,2.17,22.18
20114,BLACK ROCK,2025-06-05,O,Z,9.67,11.75,12.60,11.94,148,0.84,155.73,30.00,14.21,62.86,7.71,51.41
20211,BRIGHT ANGEL,2025-06-05,O,V,13.30,15.38,18.54,16.70,56,0.21,60.00,30.00,3.50,0.87,15.11,9.60
20211,BRIGHT ANGEL,2025-06-05,O,W,13.30,15.38,18.54,16.70,56,0.21,60.00,30.00,2.22,0.48,3.47,3.61
20211,BRIGHT ANGEL,2025-06-05,O,X,13.30,15.38,18.54,16.70,56,0.21,60.00,30.00,5.94,44.16,41.77,93.89
20211,BRIGHT ANGEL,2025-06-05,O,Y,13.30,15.38,18.54,16.70,56,0.21,60.00,30.00,5.43,22.02,1.68,15.44
20211,BRIGHT ANGEL,2025-06-05,O,Z,13.30,15.38,18.54,16.70,56,0.21,60.00,30.00,5.07,41.42,5.57,35.31
20224,BUCKSKIN MTN,2025-06-05,O,V,8.74,9.34,15.50,16.97,134,0.91,174.25,30.00,5.54,0.25,4.42,3.14
20224,BUCKSKIN MTN,2025-06-05,O,W,8.74,9.34,15.50,16.97,134,0.91,174.25,30.00,5.84,1.58,3.51,6.18
20224,BUCKSKIN MTN,2025-06-05,O,X,8.74,9.34,15.50,16.97,134,0.91,174.25,30.00,8.68,27.06,13.97,43.48
20224,BUCKSKIN MTN,2025-06-05,O,Y,8.74,9.34,15.50,16.97,134,0.91,174.25,30.00,18.45,25.21,2.65,20.52
20224,BUCKSKIN MTN,2025-06-05,O,Z,8.74,9.34,15.50,16.97,134,0.91,174.25,30.00,18.20,58.24,10.60,56.53
20401,ALPINE,2025-06-05,O,V,4.04,6.82,13.90,14.71,224,0.27,60.00,30.00,55.05,8.48,82.48,61.26
20401,ALPINE,2025-06-05,O,W,4.04,6.82,13.90,14.71,224,0.27,60.00,30.00,43.90,10.60,30.12,42.45
20401,ALPINE,2025-06-05,O,X,4.04,6.82,13.90,14.71,224,0.27,60.00,30.00,57.61,90.17,87.00,185.69
20401,ALPINE,2025-06-05,O,Y,4.04,6.82,13.90,14.71,224,0.27,60.00,30.00,54.79,37.63,3.78,29.38
