StationId,Date,ObservationType,TemperatureMin(F),TemperatureMax(F),RelativeHumidityMin(%),RelativeHumidityMax(%),Precipitation24hr(in),WindSpeedMax(mph),GustSpeedMax(mph),GustDirection(degrees),GustDirectionMaxTime(hh),MaxSolarRadiation(W/m2),DailySnowFlag
10402,2025-06-02,O,58,87,43,100,0.00,4,9,223,15,845,0
10702,2025-06-02,O,60,86,47,100,0.00,3,8,289,10,803,0
16703,2025-06-02,O,68,91,44,97,0.00,5,12,214,12,942,0
20114,2025-06-02,O,50,68,38,100,0.02,9,22,118,14,764,0
20211,2025-06-02,O,48,57,64,100,0.47,10,18,278,23,291,0
20224,2025-06-02,O,54,65,48,99,0.49,11,23,243,23,596,0
20401,2025-06-02,O,48,63,44,100,0.28,14,28,237,17,1009,0
21008,2025-06-02,O,63,85,29,97,0.12,16,27,301,16,918,0
21503,2025-06-02,O,69,95,27,95,0.00,6,13,266,11,975,0
21504,2025-06-02,O,65,87,33,96,0.02,10,22,146,15,893,0
31404,2025-06-02,O,63,86,50,94,0.00,7,19,162,14,805,0
32101,2025-06-02,O,62,82,50,100,0.00,8,17,196,13,883,0
33001,2025-06-02,O,63,89,42,100,0.00,6,15,178,16,971,0
36502,2025-06-02,O,62,90,40,96,0.00,6,13,225,12,932,0
40203,2025-06-02,O,49,76,14,37,0.00,17,29,19,1,1040,0
40242,2025-06-02,O,53,83,10,48,0.00,10,21,64,16,932,0
40244,2025-06-02,O,48,87,11,61,0.00,15,26,86,4,1010,0
40247,2025-06-02,O,48,78,17,50,0.00,14,26,73,1,991,0
40302,2025-06-02,O,44,74,17,41,0.00,18,27,67,3,1012,0
40313,2025-06-02,O,37,72,12,69,0.00,7,15,338,18,1064,0
40402,2025-06-02,O,54,88,21,44,0.00,10,17,64,3,973,0
40404,2025-06-02,O,56,84,22,36,0.00,9,19,91,3,915,0
40423,2025-06-02,O,46,87,30,97,0.00,4,11,96,17,955,0
40501,2025-06-02,O,54,98,11,75,0.00,6,17,316,19,1047,0
40518,2025-06-02,O,56,86,14,33,0.00,17,31,309,0,1013,0
40632,2025-06-02,O,68,89,12,34,0.00,10,20,293,7,898,0
40703,2025-06-02,O,36,79,18,83,0.00,5,14,337,17,997,0
40725,2025-06-02,O,37,74,14,69,0.00,11,21,321,17,1051,0
40728,2025-06-02,O,49,84,9,37,0.00,12,23,48,0,1010,0
40731,2025-06-02,O,43,80,14,53,0.00,3,12,260,17,1014,0
41001,2025-06-02,O,50,79,42,96,0.00,15,25,341,15,979,0
41101,2025-06-02,O,61,83,15,28,0.00,4,10,162,14,1012,0
41201,2025-06-02,O,56,90,22,86,0.00,5,15,232,9,945,0
42108,2025-06-02,O,51,76,28,81,0.00,23,28,256,17,964,0
42202,2025-06-02,O,54,95,16,87,0.00,8,19,350,8,941,0
42308,2025-06-02,O,48,68,56,96,0.00,10,18,247,15,1010,0
42601,2025-06-02,O,61,83,23,56,0.00,4,10,95,8,1052,0
42603,2025-06-02,O,64,82,26,45,0.00,5,13,91,6,981,0
42612,2025-06-02,O,52,92,19,84,0.00,7,14,192,11,922,0
42616,2025-06-02,O,35,80,22,97,0.00,5,10,40,11,1010,0
43008,2025-06-02,O,56,74,32,72,0.00,21,30,319,16,962,0
43010,2025-06-02,O,48,76,39,97,0.00,20,30,221,20,950,0
43211,2025-06-02,O,59,86,24,65,0.00,9,16,258,12,996,0
43212,2025-06-02,O,59,76,30,52,0.00,13,20,143,0,976,0
43407,2025-06-02,O,53,81,26,76,0.00,32,43,229,23,991,0
43702,2025-06-02,O,46,79,17,65,0.00,13,26,206,17,1001,0
43708,2025-06-02,O,54,88,14,54,0.00,17,28,151,17,1007,0
43809,2025-06-02,O,42,65,56,99,0.00,7,13,164,1,1031,0
44207,2025-06-02,O,63,86,22,57,0.00,4,10,247,14,997,0
44301,2025-06-02,O,47,85,25,92,0.00,8,17,85,16,925,0
44302,2025-06-02,O,50,66,61,95,0.00,6,18,238,13,953,0
44303,2025-06-02,O,47,80,32,93,0.00,9,21,0,21,877,0
44523,2025-06-02,O,66,83,11,30,0.00,12,25,196,11,1057,0
44701,2025-06-02,O,63,97,18,63,0.00,8,16,226,15,975,0
44722,2025-06-02,O,43,72,32,98,0.21,6,25,257,15,1138,0
44730,2025-06-02,O,55,68,34,54,0.00,14,26,125,13,1013,0
44901,2025-06-02,O,51,72,34,79,0.00,14,20,205,1,923,0
45009,2025-06-02,O,55,73,30,52,0.00,9,15,323,2,1013,0
